100
EPI_ISL_527036	15	31	25	19	18	28	22	1	2	0	11	0	3	7	0	4	12	6	10	1	7	20	0	2	14	8	8	2	4	2	4	7	10	18	0	6	6	0	1	0	1	30	20	30	31	26	31	30	30	31	33	31	30	30	32	31	31	33	27	31	31	31	30	34	32	32	24	31	32	31	32	25	32	27	30	24	30	32	31	33	32	31	33	32	32	32	32	31	32	31	30	30	31	24	31	32	31	30	30	31	
EPI_ISL_779603	19	35	29	23	22	32	26	5	2	4	15	4	3	11	4	0	16	10	14	5	11	24	4	2	18	12	12	6	4	2	4	11	14	22	4	10	10	4	5	4	5	34	24	34	35	30	35	34	34	35	37	35	34	34	36	35	35	37	31	35	35	35	34	38	36	36	28	35	36	35	36	29	36	31	34	28	34	36	35	37	36	35	37	36	36	36	36	35	36	35	34	34	35	28	35	36	35	34	34	35	
EPI_ISL_593419	17	33	27	29	18	30	24	11	14	12	11	12	15	7	12	16	0	8	12	13	9	22	12	14	14	10	10	14	16	14	16	7	12	22	12	8	8	12	13	12	13	32	22	32	33	28	33	32	30	33	35	33	32	32	34	33	33	35	29	33	33	33	32	36	34	34	26	33	34	31	34	27	34	29	32	26	22	34	23	25	24	33	35	24	24	24	24	23	24	23	22	22	23	26	33	34	33	32	32	33	
EPI_ISL_592908	9	25	19	21	12	22	16	7	8	6	7	6	9	1	6	10	8	0	4	7	1	14	6	8	8	2	2	8	10	8	10	1	4	14	6	0	0	6	7	6	7	24	14	24	25	20	25	24	24	25	27	25	24	24	26	25	25	27	21	25	25	25	24	28	26	26	18	25	26	25	26	19	26	21	24	18	24	26	25	27	26	25	27	26	26	26	26	25	26	25	24	24	25	18	25	26	25	24	24	25	
EPI_ISL_591856	5	21	15	19	14	18	12	11	12	10	11	10	13	5	10	14	12	4	0	11	5	10	10	12	12	6	6	12	14	12	14	5	0	10	10	4	4	10	11	10	11	20	10	20	21	16	21	20	20	21	23	21	20	20	22	21	21	23	17	21	21	21	20	24	22	22	14	21	22	21	22	15	22	17	20	14	20	22	21	23	22	21	23	22	22	22	22	21	22	21	20	20	21	14	21	22	21	20	20	21	
EPI_ISL_519242	16	32	26	20	19	29	23	2	3	1	10	1	4	8	1	5	13	7	11	0	6	21	1	3	15	9	9	3	5	3	5	8	11	19	1	7	7	1	0	1	0	31	21	31	32	27	32	31	31	32	34	32	31	31	33	32	32	34	28	32	32	32	31	35	33	33	25	32	33	32	33	26	33	28	31	25	31	33	32	34	33	32	34	33	33	33	33	32	33	32	31	31	32	25	32	33	32	31	31	32	
EPI_ISL_663941	10	26	20	22	13	23	17	8	9	7	6	7	10	2	7	11	9	1	5	6	0	15	7	9	9	3	3	9	11	9	11	2	5	15	7	1	1	7	6	7	6	25	15	25	26	21	26	25	25	26	28	26	25	25	27	26	26	28	22	26	26	26	25	29	27	27	19	26	27	26	27	20	27	22	25	19	25	27	26	28	27	26	28	27	27	27	27	26	27	26	25	25	26	19	26	27	26	25	25	26	
EPI_ISL_592072	15	31	25	29	24	28	22	21	22	20	21	20	23	15	20	24	22	14	10	21	15	0	20	22	22	16	16	22	24	22	24	15	10	20	20	14	14	20	21	20	21	28	20	28	29	26	29	30	30	31	33	31	30	30	32	31	31	33	27	31	31	31	30	34	32	32	24	31	32	31	32	25	32	27	30	24	30	32	31	33	32	31	33	32	32	32	32	31	32	31	30	30	31	24	31	32	31	30	30	31	
EPI_ISL_519507	15	31	25	19	18	28	22	1	2	0	11	0	3	7	0	4	12	6	10	1	7	20	0	2	14	8	8	2	4	2	4	7	10	18	0	6	6	0	1	0	1	30	20	30	31	26	31	30	30	31	33	31	30	30	32	31	31	33	27	31	31	31	30	34	32	32	24	31	32	31	32	25	32	27	30	24	30	32	31	33	32	31	33	32	32	32	32	31	32	31	30	30	31	24	31	32	31	30	30	31	
EPI_ISL_592895	17	33	27	21	20	30	24	3	0	2	13	2	1	9	2	2	14	8	12	3	9	22	2	0	16	10	10	4	2	0	2	9	12	20	2	8	8	2	3	2	3	32	22	32	33	28	33	32	32	33	35	33	32	32	34	33	33	35	29	33	33	33	32	36	34	34	26	33	34	33	34	27	34	29	32	26	32	34	33	35	34	33	35	34	34	34	34	33	34	33	32	32	33	26	33	34	33	32	32	33	
EPI_ISL_641278	17	33	27	29	10	30	24	15	16	14	5	14	17	9	14	18	14	8	12	15	9	22	14	16	0	10	10	16	18	16	18	9	12	22	14	8	8	14	15	14	15	32	22	32	33	28	33	32	20	33	35	33	32	32	34	33	33	35	29	33	33	33	32	36	34	34	26	33	34	33	34	27	34	29	32	26	30	34	31	33	32	31	33	32	32	32	32	31	32	31	30	30	31	26	31	32	31	30	30	31	
EPI_ISL_563371	11	27	21	23	14	24	18	9	10	8	9	8	11	3	8	12	10	2	6	9	3	16	8	10	10	0	4	10	8	10	8	3	6	16	8	2	2	8	9	8	9	26	16	26	27	22	27	26	26	27	29	27	26	26	28	27	27	29	23	27	27	27	26	30	28	28	20	27	28	27	28	21	28	23	26	20	26	28	27	29	28	27	29	28	28	28	28	27	28	27	26	26	27	20	27	28	27	26	26	27	
EPI_ISL_593413	11	27	21	23	14	24	18	9	10	8	9	8	11	3	8	12	10	2	6	9	3	16	8	10	10	4	0	10	12	10	12	3	6	16	8	2	2	8	9	8	9	26	16	26	27	22	27	26	26	27	29	27	26	26	28	27	27	29	23	27	27	27	26	30	28	28	20	27	28	27	28	21	28	23	26	20	26	28	27	29	28	27	29	28	28	28	28	27	28	27	26	26	27	20	27	28	27	26	26	27	
EPI_ISL_779467	17	33	27	21	20	30	24	3	4	2	13	2	5	9	2	6	14	8	12	3	9	22	2	4	16	10	10	0	6	4	6	9	12	20	2	8	8	2	3	2	3	32	22	32	33	28	33	32	32	33	35	33	32	32	34	33	33	35	29	33	33	33	32	36	34	34	26	33	34	33	34	27	34	29	32	26	32	34	33	35	34	33	35	34	34	34	34	33	34	33	32	32	33	26	33	34	33	32	32	33	
EPI_ISL_563394	19	35	29	23	22	32	26	5	2	4	15	4	3	11	4	4	16	10	14	5	11	24	4	2	18	8	12	6	0	2	0	11	14	22	4	10	10	4	5	4	5	34	24	34	35	30	35	34	34	35	37	35	34	34	36	35	35	37	31	35	35	35	34	38	36	36	28	35	36	35	36	29	36	31	34	28	34	36	35	37	36	35	37	36	36	36	36	35	36	35	34	34	35	28	35	36	35	34	34	35	
